Year,Year ending,Police Region,Local Government Area,Offence Count,"Rate per 100,000 population"
2023,December,1 North West Metro, Banyule,8072,6256.318198639
2023,December,1 North West Metro, Brimbank,17044,8666.589574434
2023,December,1 North West Metro, Darebin,13715,8823.868581319
2023,December,1 North West Metro, Hobsons Bay,5720,6143.155349834
2023,December,1 North West Metro, Hume,18342,7030.78211621
2023,December,1 North West Metro, Maribyrnong,9713,10384.420842713
2023,December,1 North West Metro, Melbourne,37764,21405.721229929
2023,December,1 North West Metro, Melton,12862,6223.975051275
2023,December,1 North West Metro, Merri-bek,12750,7049.738361357
2023,December,1 North West Metro, Moonee Valley,8020,6354.270980939
2023,December,1 North West Metro, Nillumbik,1776,2806.618649476
2023,December,1 North West Metro, Whittlesea,13199,5395.797457166
2023,December,1 North West Metro, Wyndham,18574,5746.758622594
2023,December,1 North West Metro, Yarra,12835,13072.289796365
2023,December,1 North West Metro,Total,190386,8108.169923194
2023,December,2 Eastern, Alpine,519,3921.707351719
2023,December,2 Eastern, Bass Coast,2957,6924.060988927
2023,December,2 Eastern, Baw Baw,4496,7411.979432503
2023,December,2 Eastern, Benalla,1515,10453.467722201
2023,December,2 Eastern, Boroondara,7868,4515.888718864
2023,December,2 Eastern, East Gippsland,5279,10687.619717532
2023,December,2 Eastern, Greater Shepparton,8503,12215.761992177
2023,December,2 Eastern, Indigo,657,3741.289113402
2023,December,2 Eastern, Knox,10162,6315.436524034
2023,December,2 Eastern, Latrobe,11863,15187.272552066
2023,December,2 Eastern, Manningham,4817,3764.292747098
2023,December,2 Eastern, Mansfield,601,5726.691341626
2023,December,2 Eastern, Maroondah,7666,6547.979745571
2023,December,2 Eastern, Mitchell,4163,7613.32875737
2023,December,2 Eastern, Moira,2582,8404.702694518
2023,December,2 Eastern, Monash,13629,6832.211613096
2023,December,2 Eastern, Murrindindi,824,5304.910246929
2023,December,2 Eastern, South Gippsland,2264,7315.810163867
2023,December,2 Eastern, Strathbogie,529,4549.126906996
2023,December,2 Eastern, Towong,284,4580.700841393
2023,December,2 Eastern, Wangaratta,2715,9030.872473721
2023,December,2 Eastern, Wellington,4681,10146.57518576
2023,December,2 Eastern, Whitehorse,9916,5627.908315531
2023,December,2 Eastern, Wodonga,4372,9871.169222459
2023,December,2 Eastern, Yarra Ranges,7113,4478.306598134
2023,December,2 Eastern,Total,119975,6890.601040366
2023,December,3 Southern Metro, Bayside,5605,5421.970477639
2023,December,3 Southern Metro, Cardinia,7108,5587.639746411
2023,December,3 Southern Metro, Casey,23432,5982.935337437
2023,December,3 Southern Metro, Frankston,14953,10490.511909672
2023,December,3 Southern Metro, Glen Eira,7662,4948.261264565
2023,December,3 Southern Metro, Greater Dandenong,18774,11610.9241312
2023,December,3 Southern Metro, Kingston,12594,7762.286245279
2023,December,3 Southern Metro, Mornington Peninsula,9928,5812.794896369
2023,December,3 Southern Metro, Port Phillip,12727,11447.094352206
2023,December,3 Southern Metro, Stonnington,11214,10020.700871225
2023,December,3 Southern Metro,Total,123997,7572.629714744
2023,December,4 Western, Ararat,1410,11956.808471638
2023,December,4 Western, Ballarat,11715,9931.71874249
2023,December,4 Western, Buloke,429,7041.987226188
2023,December,4 Western, Campaspe,3925,10154.418711499
2023,December,4 Western, Central Goldfields,1212,8916.563648153
2023,December,4 Western, Colac-Otway,1471,6594.596230985
2023,December,4 Western, Corangamite,729,4577.020346341
2023,December,4 Western, Gannawarra,995,9502.671593056
