Year,Year ending,Local Government Area,Location Division,Location Subdivision,Location Group,Offence Count
2023,December,Alpine,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,3
2023,December,Alpine,1 Residential,11 Dwelling - private,112 House,235
2023,December,Alpine,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,4
2023,December,Alpine,1 Residential,11 Dwelling - private,117 Farm House,5
2023,December,Alpine,1 Residential,12 Dwelling  - non-private,122 Holiday Home,5
2023,December,Alpine,1 Residential,12 Dwelling  - non-private,123 Guest House,3
2023,December,Alpine,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,7
2023,December,Alpine,1 Residential,12 Dwelling  - non-private,126 Other Dwelling,2
2023,December,Alpine,1 Residential,13 Grounds/surrounding land,1310 Farm Building,1
2023,December,Alpine,1 Residential,13 Grounds/surrounding land,132 Backyard,6
2023,December,Alpine,1 Residential,13 Grounds/surrounding land,133 Frontyard,2
2023,December,Alpine,1 Residential,13 Grounds/surrounding land,134 Garage,4
2023,December,Alpine,1 Residential,13 Grounds/surrounding land,135 Shed,10
2023,December,Alpine,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,1
2023,December,Alpine,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),2
2023,December,Alpine,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,13
2023,December,Alpine,1 Residential,13 Grounds/surrounding land,139 Carpark Multi Dwelling,1
2023,December,Alpine,2 Community,21 Education,211 School,4
2023,December,Alpine,2 Community,21 Education,213 Other Educational,2
2023,December,Alpine,2 Community,22 Health,221 Hospital,1
2023,December,Alpine,2 Community,23 Religious,231 Church,1
2023,December,Alpine,2 Community,25 Other Transport,255 Carpark (Single Level),5
2023,December,Alpine,2 Community,26 Justice,261 Police Station,1
2023,December,Alpine,2 Community,26 Justice,262 Court,3
2023,December,Alpine,2 Community,27 Open Space,271 Parkland/Reserve,18
2023,December,Alpine,2 Community,27 Open Space,273 Vacant Block,1
2023,December,Alpine,2 Community,27 Open Space,275 Other Open Space,4
2023,December,Alpine,2 Community,28 Street/footpath,281 Street/Lane/Footpath,66
2023,December,Alpine,3 Other,31 Admin/professional,311 Business Office,5
2023,December,Alpine,3 Other,33 Retail,331 Chemist/Pharmacy,1
2023,December,Alpine,3 Other,33 Retail,3310 24Hr Convenience,1
2023,December,Alpine,3 Other,33 Retail,3312 Other Retail,18
2023,December,Alpine,3 Other,33 Retail,332 Service Station,11
2023,December,Alpine,3 Other,33 Retail,335 Supermarket,15
2023,December,Alpine,3 Other,33 Retail,336 Department Store,3
2023,December,Alpine,3 Other,33 Retail,337 Shopping Complex,1
2023,December,Alpine,3 Other,33 Retail,338 Car Sales Yard,1
2023,December,Alpine,3 Other,33 Retail,339 Milkbar,1
2023,December,Alpine,3 Other,35 Warehousing/storage,351 Warehousing/Storage,3
