Year,Year ending,Local Government Area,Offence Subdivision,Offence Group,CSA Drug Type,Offence Count
2023,December,Alpine,C10 Drug dealing and trafficking,C12 Drug trafficking,Cannabis,1
2023,December,Alpine,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,Not Coded,1
2023,December,Alpine,C30 Drug use and possession,C32 Drug possession,Amphetamine,1
2023,December,Alpine,C30 Drug use and possession,C32 Drug possession,Cannabis,8
2023,December,Alpine,C30 Drug use and possession,C32 Drug possession,GHB,1
2023,December,Alpine,C30 Drug use and possession,C32 Drug possession,Methylamphetamine,2
2023,December,Alpine,C30 Drug use and possession,C32 Drug possession,Not Recorded,1
2023,December,Ararat,C10 Drug dealing and trafficking,C12 Drug trafficking,Amphetamine,1
2023,December,Ararat,C10 Drug dealing and trafficking,C12 Drug trafficking,Cannabis,3
2023,December,Ararat,C10 Drug dealing and trafficking,C12 Drug trafficking,Cocaine,2
2023,December,Ararat,C10 Drug dealing and trafficking,C12 Drug trafficking,Ecstasy,1
2023,December,Ararat,C10 Drug dealing and trafficking,C12 Drug trafficking,Methylamphetamine,3
2023,December,Ararat,C10 Drug dealing and trafficking,C12 Drug trafficking,Prescription,1
2023,December,Ararat,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,Not Coded,3
2023,December,Ararat,C30 Drug use and possession,C32 Drug possession,Amphetamine,1
2023,December,Ararat,C30 Drug use and possession,C32 Drug possession,Cannabis,33
2023,December,Ararat,C30 Drug use and possession,C32 Drug possession,Cocaine,2
2023,December,Ararat,C30 Drug use and possession,C32 Drug possession,Ecstasy,5
2023,December,Ararat,C30 Drug use and possession,C32 Drug possession,GHB,1
2023,December,Ararat,C30 Drug use and possession,C32 Drug possession,Methylamphetamine,14
2023,December,Ararat,C30 Drug use and possession,C32 Drug possession,Not Recorded,4
2023,December,Ararat,C30 Drug use and possession,C32 Drug possession,Other,4
2023,December,Ararat,C30 Drug use and possession,C32 Drug possession,Prescription,15
2023,December,Ballarat,C10 Drug dealing and trafficking,C11 Drug dealing,Not Recorded,2
2023,December,Ballarat,C10 Drug dealing and trafficking,C12 Drug trafficking,Amphetamine,2
2023,December,Ballarat,C10 Drug dealing and trafficking,C12 Drug trafficking,Cannabis,12
2023,December,Ballarat,C10 Drug dealing and trafficking,C12 Drug trafficking,Cocaine,2
2023,December,Ballarat,C10 Drug dealing and trafficking,C12 Drug trafficking,Ecstasy,2
2023,December,Ballarat,C10 Drug dealing and trafficking,C12 Drug trafficking,GHB,4
2023,December,Ballarat,C10 Drug dealing and trafficking,C12 Drug trafficking,Methylamphetamine,11
2023,December,Ballarat,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,Not Coded,16
2023,December,Ballarat,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,Not Coded,5
2023,December,Ballarat,C30 Drug use and possession,C31 Drug use,Amphetamine,1
2023,December,Ballarat,C30 Drug use and possession,C31 Drug use,Cannabis,1
2023,December,Ballarat,C30 Drug use and possession,C32 Drug possession,Amphetamine,12
2023,December,Ballarat,C30 Drug use and possession,C32 Drug possession,Cannabis,134
2023,December,Ballarat,C30 Drug use and possession,C32 Drug possession,Cocaine,14
2023,December,Ballarat,C30 Drug use and possession,C32 Drug possession,Ecstasy,12
2023,December,Ballarat,C30 Drug use and possession,C32 Drug possession,GHB,18
2023,December,Ballarat,C30 Drug use and possession,C32 Drug possession,Heroin,5
2023,December,Ballarat,C30 Drug use and possession,C32 Drug possession,Methylamphetamine,84
2023,December,Ballarat,C30 Drug use and possession,C32 Drug possession,Not Recorded,19
2023,December,Ballarat,C30 Drug use and possession,C32 Drug possession,Other,12
2023,December,Ballarat,C30 Drug use and possession,C32 Drug possession,Prescription,31
2023,December,Banyule,C10 Drug dealing and trafficking,C12 Drug trafficking,Amphetamine,1
2023,December,Banyule,C10 Drug dealing and trafficking,C12 Drug trafficking,Cannabis,14
2023,December,Banyule,C10 Drug dealing and trafficking,C12 Drug trafficking,Cocaine,3
2023,December,Banyule,C10 Drug dealing and trafficking,C12 Drug trafficking,Ecstasy,1
